berechnet fuer Zylindermantel
1 (0,0,0) (0,0,1) | 1 1
2 (0,0,0) (0,0,1) | 2 2
1 (0,0,0) (0,0,1) | 4 4
1 (0,1,0) (0,0,1) | 2 2.00558
2 (0,1,0) (0,0,1) | 4 4.04001
1 (0,2,0) (0,0,1) | 8 8.04285

berechnet fuer Vollzylinder
1 (0,0,0) (0,0,1) | 0.5 0.498984
2 (0,0,0) (0,0,1) | 1 1.00005
1 (0,0,0) (0,0,1) | 2 1.98181
1 (0,1,0) (0,0,1) | 1.5 1.49337
2 (0,1,0) (0,0,1) | 3 3.04534
1 (0,2,0) (0,0,1) | 6 6.00848

